Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_1206_3216Metric",193.750000,-114.250000,90.000000,bottom
"C2","10uF","C_1206_3216Metric",179.000000,-121.250000,180.000000,bottom
"C3","10uF","C_1206_3216Metric",222.750000,-114.000000,180.000000,bottom
"C4","10uF","C_1206_3216Metric",227.800000,-120.000000,0.000000,bottom
"C5","100nF","C_0805_2012Metric",169.800000,-129.750000,180.000000,bottom
"C6","100nF","C_0805_2012Metric",169.800000,-127.250000,180.000000,bottom
"C7","100nF","C_0805_2012Metric",184.550000,-129.500000,0.000000,bottom
"C8","100nF","C_0805_2012Metric",169.500000,-141.750000,180.000000,bottom
"C9","100nF","C_0805_2012Metric",169.550000,-144.250000,180.000000,bottom
"C10","10uF","C_0805_2012Metric",184.500000,-127.250000,0.000000,bottom
"C11","15pF","C_0402_1005Metric",188.800000,-137.400000,180.000000,bottom
"C12","15pF","C_0402_1005Metric",187.400000,-131.800000,0.000000,bottom
"C13","10uF","C_1206_3216Metric",219.500000,-124.750000,0.000000,bottom
"C14","100nF","C_0805_2012Metric",219.050000,-144.000000,0.000000,bottom
"C15","100nF","C_0805_2012Metric",234.250000,-126.500000,180.000000,bottom
"C16","100nF","C_0805_2012Metric",234.250000,-129.000000,180.000000,bottom
"C17","100nF","C_0805_2012Metric",234.550000,-141.000000,180.000000,bottom
"C18","100nF","C_0805_2012Metric",234.567494,-143.224952,180.000000,bottom
"C19","15pF","C_0402_1005Metric",213.800000,-131.800000,0.000000,bottom
"C20","15pF","C_0402_1005Metric",215.000002,-137.400000,180.000000,bottom
"C21","100nF","C_0805_2012Metric",185.000000,-141.500000,180.000000,bottom
"C22","100nF","C_0805_2012Metric",214.750000,-141.750000,0.000000,bottom
"C23","100nF","C_0805_2012Metric",182.000000,-114.500000,180.000000,bottom
"C24","100nF","C_0805_2012Metric",226.000000,-105.250000,0.000000,bottom
"C25","2.2uF","C_0603_1608Metric",174.250000,-145.000000,90.000000,bottom
"C26","100nF","C_0805_2012Metric",215.250000,-115.000000,180.000000,bottom
"C27","100nF","C_0805_2012Metric",210.750000,-121.500000,180.000000,bottom
"C28","2.2uF","C_0603_1608Metric",234.469343,-124.504269,180.000000,bottom
"C29","100nF","C_0805_2012Metric",185.000000,-143.750000,0.000000,bottom
"C30","100nF","C_0805_2012Metric",220.100464,-127.000000,0.000000,bottom
"D2","SMF5.0A","D_SOD-123FL",188.000000,-109.000000,90.000000,bottom
"D3","SMF5.0A","D_SOD-123FL",214.600000,-108.400000,90.000000,bottom
"D6","~","D_SOD-123",83.037500,-109.600000,0.000000,bottom
"D7","~","D_SOD-123",100.987500,-104.400000,0.000000,bottom
"D8","~","D_SOD-123",118.987500,-99.200000,0.000000,bottom
