### Footprint positions - created on 2025-09-27T02:51:01+0100 ###
### Printed by KiCad version 9.0.4
## Unit = mm, Angle = deg.
## Side : bottom
# Ref     Val             Package                                            PosX       PosY       Rot  Side
C1        10uF            C_1206_3216Metric_Pad1.33x1.80mm_HandSolder    192.6000  -123.5625  -90.0000  bottom
C2        10uF            C_1206_3216Metric_Pad1.33x1.80mm_HandSolder    187.5000  -122.5000    0.0000  bottom
C3        10uF            C_1206_3216Metric_Pad1.33x1.80mm_HandSolder    224.4000  -112.2000   90.0000  bottom
C4        10uF            C_1206_3216Metric_Pad1.33x1.80mm_HandSolder    227.8000  -120.0000    0.0000  bottom
C5        100nF           C_0201_0603Metric_Pad0.64x0.40mm_HandSolder    170.0000  -130.5000  180.0000  bottom
C6        100nF           C_0201_0603Metric_Pad0.64x0.40mm_HandSolder    170.5000  -129.0000   90.0000  bottom
C7        100nF           C_0201_0603Metric_Pad0.64x0.40mm_HandSolder    182.4375  -129.4000    0.0000  bottom
C8        100nF           C_0201_0603Metric_Pad0.64x0.40mm_HandSolder    171.2375  -141.4000  180.0000  bottom
C9        100nF           C_0201_0603Metric_Pad0.64x0.40mm_HandSolder    171.2125  -142.6000  180.0000  bottom
C10       10uF            C_1206_3216Metric_Pad1.33x1.80mm_HandSolder    183.6375  -127.2000    0.0000  bottom
C11       15pF            C_0402_1005Metric_Pad0.74x0.62mm_HandSolder    188.8000  -137.4000  180.0000  bottom
C12       15pF            C_0402_1005Metric_Pad0.74x0.62mm_HandSolder    187.4000  -131.8000    0.0000  bottom
C13       10uF            C_1206_3216Metric_Pad1.33x1.80mm_HandSolder    218.0375  -128.2000    0.0000  bottom
C14       100nF           C_0201_0603Metric_Pad0.64x0.40mm_HandSolder    221.0000  -143.0000    0.0000  bottom
C15       100nF           C_0201_0603Metric_Pad0.64x0.40mm_HandSolder    231.4000  -128.0000  -90.0000  bottom
C16       100nF           C_0201_0603Metric_Pad0.64x0.40mm_HandSolder    232.6000  -128.0000  -90.0000  bottom
C17       100nF           C_0201_0603Metric_Pad0.64x0.40mm_HandSolder    233.4000  -140.4000  180.0000  bottom
C18       100nF           C_0201_0603Metric_Pad0.64x0.40mm_HandSolder    234.2000  -142.2000   90.0000  bottom
C19       15pF            C_0402_1005Metric_Pad0.74x0.62mm_HandSolder    213.8000  -131.8000    0.0000  bottom
C20       15pF            C_0402_1005Metric_Pad0.74x0.62mm_HandSolder    215.0000  -137.4000  180.0000  bottom
C21       100nF           C_0201_0603Metric_Pad0.64x0.40mm_HandSolder    184.0000  -141.6325   90.0000  bottom
C22       100nF           C_0201_0603Metric_Pad0.64x0.40mm_HandSolder    219.6000  -141.4000   90.0000  bottom
