Designator,Mid X,Mid Y,Rotation,Layer
_6,165.0,54.25,0.0,top
_5,215.4,58.2,0.0,top
_4,215.4,92.2,0.0,top
_3,215.4,75.2,0.0,top
_2,215.4,109.2,0.0,top
,142.75,56.0,0.0,top
C1,145.75,110.75,90.0,bottom
C10,136.5,100.0,180.0,bottom
C11,140.8,87.6,0.0,bottom
C12,139.4,93.2,180.0,bottom
C13,171.0,100.5,180.0,bottom
C14,172.75,81.25,180.0,bottom
C15,172.0,97.75,180.0,bottom
C16,185.5,96.5,0.0,bottom
C17,185.5,84.5,0.0,bottom
C18,171.0,84.0,180.0,bottom
C19,165.8,93.2,180.0,bottom
C2,131.0,103.75,0.0,bottom
C20,167.000002,87.6,0.0,bottom
C21,137.75,86.0,0.0,bottom
C22,166.75,83.25,180.0,bottom
C23,134.0,110.5,0.0,bottom
C24,169.5,116.5,0.0,bottom
C25,126.25,80.0,90.0,bottom
C26,169.5,114.25,0.0,bottom
C27,160.5,115.5,270.0,bottom
C28,184.25,98.5,0.0,bottom
C29,136.5,83.75,180.0,bottom
C3,170.0,105.75,180.0,bottom
C30,170.25,95.5,180.0,bottom
C4,164.0,97.25,180.0,bottom
C5,121.8,95.25,0.0,bottom
C6,135.25,97.25,180.0,bottom
C7,136.25,95.0,180.0,bottom
C8,121.5,83.25,0.0,bottom
C9,133.5,81.0,180.0,bottom
D1,166.25,115.75,90.0,bottom
D10,106.7875,115.6,180.0,bottom
D11,17.0375,99.0,180.0,bottom
D12,35.0375,98.4,180.0,bottom
D13,53.0375,103.6,180.0,bottom
D14,71.0375,108.6,180.0,bottom
D15,89.0375,103.6,180.0,bottom
D16,107.0375,98.4,180.0,bottom
D17,17.0375,81.4,180.0,bottom
D18,35.0375,81.4,180.0,bottom
D19,53.0375,86.6,180.0,bottom
D2,140.0,116.0,90.0,bottom
D20,71.0375,91.6,180.0,bottom
D21,89.0375,86.6,180.0,bottom
D22,107.0375,81.4,180.0,bottom
D23,17.0375,64.6,180.0,bottom
D24,35.0375,64.6,180.0,bottom
D25,53.0375,69.6,180.0,bottom
D26,70.8375,74.6,180.0,bottom
D27,89.0375,69.6,180.0,bottom
D28,107.0375,64.4,180.0,bottom
D29,17.2375,47.4,180.0,bottom
D3,191.183945,129.093192,83.0,bottom
D30,35.0375,47.4,180.0,bottom
D31,53.0375,52.6,180.0,bottom
D32,70.9875,57.600001,180.0,bottom
D33,89.0375,52.6,180.0,bottom
D34,107.0875,47.6,180.0,bottom
D35,80.2875,26.0,180.0,bottom
D36,103.6375,22.8,190.0,bottom
D37,124.4375,29.8,110.0,bottom
D38,213.0375,115.4,180.0,bottom
D39,231.0375,120.6,180.0,bottom
D4,187.195022,128.58593,83.0,bottom
D40,249.0375,125.6,180.0,bottom
D41,267.2375,120.4,180.0,bottom
D42,285.0375,115.2,180.0,bottom
D43,213.0375,98.4,180.0,bottom
D44,231.0375,103.6,180.0,bottom
D45,249.0375,108.8,180.0,bottom
D46,267.0375,103.6,180.0,bottom
D47,285.0375,98.4,180.0,bottom
D48,303.0375,98.6,180.0,bottom
D49,213.2375,81.6,180.0,bottom
D5,116.076009,129.105906,97.0,bottom
D50,231.0375,86.6,180.0,bottom
D51,249.0375,91.6,180.0,bottom
D52,267.2375,86.6,180.0,bottom
D53,285.0375,81.4,180.0,bottom
D54,303.0375,81.6,180.0,bottom
D55,213.0375,64.6,180.0,bottom
D56,231.0375,69.6,180.0,bottom
D57,249.0375,74.6,180.0,bottom
D58,267.0375,69.6,180.0,bottom
D59,285.2375,64.4,180.0,bottom
D6,35.0375,115.4,180.0,bottom
D60,303.0375,64.6,180.0,bottom
D61,213.0375,47.6,180.0,bottom
D62,231.0375,52.6,180.0,bottom
D63,249.0375,57.8,180.0,bottom
D64,267.0375,52.6,180.0,bottom
D65,285.0375,47.6,180.0,bottom
D66,303.0375,47.6,180.0,bottom
D67,186.6375,18.4,250.0,bottom
D68,216.8375,25.2,170.0,bottom
D69,240.0375,27.2,180.0,bottom
D7,52.9875,120.6,180.0,bottom
D70,120.179691,128.579103,97.0,bottom
D8,70.9875,125.8,180.0,bottom
D9,88.9875,120.6,180.0,bottom
R1,131.25,125.25,280.0,bottom
R10,187.25,121.0,270.0,bottom
R11,123.012606,121.675465,220.0,bottom
R12,124.293304,123.170346,220.0,bottom
R13,120.5,91.0,0.0,bottom
R14,120.239999,92.249998,0.0,bottom
R15,186.25,88.25,180.0,bottom
R16,186.5,87.0,180.0,bottom
R2,189.75,121.0,270.0,bottom
R3,138.0,55.75,210.0,bottom
R4,167.25,58.0,310.0,bottom
R5,169.25,109.25,180.0,bottom
R6,169.25,111.5,0.0,bottom
R7,145.0,123.75,270.0,bottom
R8,175.675,126.0,260.0,bottom
R9,162.0,124.25,260.0,bottom
SW1,28.445,117.7,0.0,top
SW10,82.4575,105.8,0.0,top
SW11,100.4575,100.7,0.0,top
SW12,10.4575,83.7,0.0,top
SW13,28.4575,83.7,0.0,top
SW14,46.5075,88.8,0.0,top
SW15,64.4575,93.9,0.0,top
SW16,82.4575,88.8,0.0,top
SW17,100.4575,83.7,0.0,top
SW18,10.4575,66.7,0.0,top
SW19,28.4575,66.7,0.0,top
SW2,46.4575,122.8,0.0,top
SW20,46.4575,71.8,0.0,top
SW21,64.4575,76.9,0.0,top
